NCBI_taxonomy_name,fmin,fmax
Achromobacter,0,863
Achromobacter dolens,0,828
Achromobacter insuavis,22598,23990
Achromobacter mucicolens,0,1191
Achromobacter ruhlandii,0,897
Achromobacter sp.,0,828
Achromobacter xylosoxidans,0,828
Acidaminococcus fermentans,239,1094
Acinetobacter,86,1152
Acinetobacter baumannii,0,860
Acinetobacter baylyi,0,1194
Acinetobacter bereziniae,0,831
Acinetobacter bohemicus,220588,221443
Acinetobacter bouvetii,31095,31929
Acinetobacter calcoaceticus,0,822
Acinetobacter calcoaceticus/baumannii,0,822
Acinetobacter colistiniresistens,100,934
Acinetobacter courvalinii,0,837
Acinetobacter dispersus,0,441
Acinetobacter faecalis,108551,109391
Acinetobacter genomosp.,129,571
Acinetobacter gerneri,40248,41069
Acinetobacter guillouiae,7792,8638
Acinetobacter gyllenbergii,124018,124807
Acinetobacter haemolyticus,66,927
Acinetobacter johnsonii,0,825
Acinetobacter lactucae,0,822
Acinetobacter lwoffii,0,831
Acinetobacter nosocomialis,0,1152
Acinetobacter oleivorans,0,822
Acinetobacter parvus,54862,55702
Acinetobacter pittii,0,1152
Acinetobacter proteolyticus,0,843
Acinetobacter radioresistens,0,822
Acinetobacter rudis,141054,141855
Acinetobacter schindleri,0,831
Acinetobacter seifertii,0,1152
Acinetobacter soli,368,938
Acinetobacter sp.,76527,77370
Acinetobacter tandoii,191231,191927
Acinetobacter variabilis,0,822
Acinetobacter venetianus,133786,134617
Acinetobacter vivianii,0,837
Actinomadura sp.,320,1235
Aeromicrobium erythreum,12449,13472
Aeromonas,0,1438
Aeromonas allosaccharophila,0,1038
Aeromonas bivalvium,0,1623
Aeromonas caviae,0,1149
Aeromonas dhakensis,0,1143
Aeromonas enteropelogenes,0,1149
Aeromonas hydrophila,50,1025
Aeromonas jandaei,0,1623
Aeromonas media,93,1623
Aeromonas salmonicida,2817,4029
Aeromonas sobria,0,885
Aeromonas sp.,0,1149
Aeromonas taiwanensis,0,795
Aeromonas veronii,0,900
Agrobacterium fabrum,73,981
Alcaligenes faecalis,2466,3259
Aliarcobacter butzleri,0,762
Aliivibrio salmonicida,1699483,1700140
Alistipes sp.,2830,3325
Alkalihalobacillus clausii,1258,2486
Alkalihalobacillus halodurans,100,955
Aspergillus fumigatus,0,4359
Atlantibacter hermannii,0,873
Bacillus amyloliquefaciens,539695,540745
Bacillus anthracis,500,1430
Bacillus atrophaeus,17603,18410
Bacillus cereus,48038,48970
Bacillus licheniformis,1317,1944
Bacillus massiliigabonensis,0,423
Bacillus phocaeensis,0,429
Bacillus pumilus,1174699,1175425
Bacillus subtilis,307496,308254
Bacillus thuringiensis,189532,190432
Bacteroides,50,877
Bacteroides coprosuis,16,1378
Bacteroides fragilis,0,750
Bacteroides sp.,2570,3623
Bacteroides thetaiotaomicron,1638,2130
Bartonella bacilliformis,703780,706389
Betaproteobacteria bacterium,114139,114376
Bhargavaea cecembensis,1966,3343
Bibersteinia trehalosi,87300,88218
Bifidobacterium adolescentis,1667063,1670624
Bifidobacterium bifidum,1610636,1613960
Bifidobacterium breve,34384,35299
Bordetella bronchiseptica,53958,55050
Bordetella hinzii,0,915
Borreliella burgdorferi,0,1507
Brachybacterium faecium,2516712,2517609
Brachybacterium paraconglomeratum,76478,77432
Brachyspira hyodysenteriae,1256406,1258663
Brachyspira pilosicoli,0,810
Brachyspira pulli,0,810
