NCBI_taxonomy_name,fmin,fmax
mixed culture,132,1023
Klebsiella pneumoniae,0,861
Enterococcus faecalis,392,887
Escherichia coli,244,1120
Escherichia coli,0,813
Enterobacter cloacae,0,1146
Acinetobacter calcoaceticus,11,908
Alkalihalobacillus clausii,0,846
Escherichia coli,203,1064
uncultured bacterium,16572,17454
Morganella morganii,147,1008
Klebsiella oxytoca,31,862
Acinetobacter baumannii,0,882
Acinetobacter johnsonii,0,825
Acinetobacter baumannii,0,741
Klebsiella pneumoniae,332,1481
Acinetobacter calcoaceticus,0,822
Serratia marcescens,0,1146
Acinetobacter baumannii,11870,12695
Staphylococcus aureus,1710,2352
Escherichia coli,244,1120
Enterobacter cloacae,37,937
Staphylococcus haemolyticus,412,898
Pseudomonas aeruginosa,281,1076
Pseudomonas aeruginosa,0,828
Klebsiella pneumoniae,0,876
Klebsiella pneumoniae,0,1140
Acinetobacter baumannii,21241,22717
Klebsiella oxytoca,0,876
Enterobacter cloacae,216,642
Streptomyces fradiae,306,1113
Pseudomonas aeruginosa,5055,5520
Citrobacter freundii,0,681
Klebsiella pneumoniae,665,1424
Klebsiella oxytoca,0,876
Salmonella enterica,400860,401325
Escherichia coli,4303042,4304509
Citrobacter freundii,0,1146
Ralstonia pickettii,2770,3586
Acinetobacter baumannii,0,825
Serratia marcescens,0,885
Pseudomonas aeruginosa,105,945
Klebsiella oxytoca,0,873
Aeromonas caviae,0,1152
Haemophilus parainfluenzae,4334,5195
Acinetobacter baumannii,2175316,2176141
Escherichia coli,0,783
Escherichia coli,0,861
Citrobacter freundii,130,775
Enterobacter cloacae,1826,2627
Aeromonas hydrophila,0,657
Acinetobacter calcoaceticus,0,822
Escherichia coli,0,1146
Klebsiella pneumoniae,633,1188
Citrobacter braakii,1026,2172
uncultured bacterium,140,1004
Klebsiella pneumoniae,0,861
Acinetobacter baumannii,0,825
Klebsiella pneumoniae,0,861
Salmonella enterica,118,898
Klebsiella pneumoniae,0,813
Citrobacter freundii,0,645
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,1313,2114
Klebsiella pneumoniae,87,948
Streptomyces lividans,238,1768
Klebsiella pneumoniae,30,891
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,175,1036
Pseudomonas aeruginosa,0,801
Enterobacter asburiae,0,1146
Klebsiella oxytoca,16,1165
Proteus vulgaris,0,927
Pseudomonas aeruginosa,0,753
Acinetobacter soli,0,741
Plasmid pWW100,68,929
Staphylococcus aureus,1429,2290
Escherichia coli,0,1146
Escherichia coli,3974604,3975429
Escherichia coli,346,1222
Klebsiella pneumoniae,46,907
Citrobacter freundii,1027,2173
Klebsiella pneumoniae,0,1146
Acinetobacter baumannii,0,825
Citrobacter freundii,1039,2185
Citrobacter freundii,2306,2951
Escherichia coli,210,1071
uncultured bacterium,14502,15417
Enterobacter cloacae,7837,8698
Campylobacter jejuni,0,774
Pseudomonas aeruginosa,690,1557
Vibrio cholerae,26,656
Klebsiella pneumoniae,0,861
Pseudomonas aeruginosa,0,1194
Saccharopolyspora erythraea,189,1335
Acinetobacter dispersus,0,441
Escherichia coli,37,937
Escherichia coli,717,1215
Proteus mirabilis,0,861
Citrobacter freundii,0,681
uncultured bacterium,11679,12585
Klebsiella pneumoniae,1774,2575
Acinetobacter baumannii,0,789
Escherichia coli,3660413,3663527
Klebsiella pneumoniae,0,801
Klebsiella pneumoniae,4,865
Chryseobacterium indologenes,0,720
Klebsiella pneumoniae,0,861
Klebsiella pneumoniae,110,971
Brevibacillus brevis,4758175,4759207
Streptomyces ambofaciens,0,1653
Listeria monocytogenes,81760,82162
Shigella sp.,0,876
